created_at,tweet_text,location,name,clean_Tweet_NoPunct,clean_Tweet_NoPunctNoStop,clean_Tweet_NoPunctNoStopNoNumber,mapped_country
09-04-20 2:11,"RT @RaizaTrillOG: Due to covid-19, we are out of bald","Miami, FL",Cyr🇵🇦,due to covid19  we are out of bald,due covid19 bald,due bald, United States of America
09-04-20 2:11,RT @sociopreneur: 400 mn informal workers in India at risk of sinking into poverty due to #COVID19 says @ilo https://t.co/Lk03i2BvQ8,New Delhi,Tri Radhakrishnan,400 mn informal workers in india at risk of sinking into poverty due to  covid19 says  ilo https  tcolk03i2bvq8,400 mn informal workers india risk sinking poverty due covid19 says ilo https tcolk03i2bvq8,mn informal workers india risk sinking poverty due says ilo https, India
09-04-20 2:11,RT @chriskrokshow: Up next @WBAP247NEWS my #CPA @irsprob joins me to tell us how small businesses can GET an #sbaloan and other advice on #…,"TX, USA",A. Jake 🇺🇸 🐰🐥☔🌴,up next  wbap247news my  cpa  irsprob joins me to tell us how small businesses can get an  sbaloan and other advice on  …,next wbap247news cpa irsprob joins tell us small businesses get sbaloan advice …,next cpa irsprob joins tell us small businesses get sbaloan advice, United States of America
09-04-20 2:11,RT @ANI: Had a telephonic conversation with Spanish Foreign Minister Arancha Gonzalez. We agreed that effective #COVID19 response requires…,"Gurgaon, haryana, india",Shivam_agrawal,had a telephonic conversation with spanish foreign minister arancha gonzalez  we agreed that effective  covid19 response requires…,telephonic conversation spanish foreign minister arancha gonzalez agreed effective covid19 response requires…,telephonic conversation spanish foreign minister arancha gonzalez agreed effective response, India
09-04-20 2:11,"RT @MOFA_Taiwan: .@DrTedros said there's ""No need to use #COVID19 to score political points. We agree! Yet without evidence, #Taiwan is acc…",Ahmedabad,rishi,drtedros said there s  no need to use  covid19 to score political points  we agree  yet without evidence   taiwan is acc…,drtedros said need use covid19 score political points agree yet without evidence taiwan acc…,drtedros said need use score political points agree yet without evidence taiwan, India
09-04-20 2:11,RT @CMA_Docs: Do your part to help #FlattenTheCurve and stop the spread of #COVID19. Stay home. Stay safe. Practise #PhysicalDistancing and…,,Mary-Lyn Fyfe,do your part to help  flattenthecurve and stop the spread of  covid19  stay home  stay safe  practise  physicaldistancing and…,part help flattenthecurve stop spread covid19 stay home stay safe practise physicaldistancing and…,part help flattenthecurve stop spread stay home stay safe practise physicaldistancing, Italia
09-04-20 2:11,RT @news18dotcom: The Supreme Court on Wednesday ordered free COVID-19 tests to be carried out by the government as well as accredited labo…,India,CNNNews18,the supreme court on wednesday ordered free covid19 tests to be carried out by the government as well as accredited labo…,supreme court wednesday ordered free covid19 tests carried government well accredited labo…,supreme court wednesday ordered free tests carried government well accredited,भारत - India
09-04-20 2:11,"RT @XoliMngambi: 1/2 [DEVELOPING STORY]
While Minister Stella Ndabeni-Abrahams has said sorry for her actions and pleads for our forgivenes…",Sunnyside pta,Stay At Home #21daysLockdown,12  developing story  while minister stella ndabeniabrahams has said sorry for her actions and pleads for our forgivenes…,12 developing story minister stella ndabeniabrahams said sorry actions pleads forgivenes…,developing story minister stella ndabeniabrahams said sorry actions pleads, Italia
09-04-20 2:11,RT @globalnews: Coronavirus: Canadian-born Second World War Dam Buster dies from COVID-19 https://t.co/wWM7V1gMum https://t.co/ael3G7YQBo,,Mandi,coronavirus  canadianborn second world war dam buster dies from covid19 https  tcowwm7v1gmum https  tcoael3g7yqbo,coronavirus canadianborn second world war dam buster dies covid19 https tcowwm7v1gmum https tcoael3g7yqbo,coronavirus canadianborn second world war dam buster dies https https, Italia
09-04-20 2:11,RT @ashokepandit: IIM study predicts 1.5 lakh Covid-19 cases by May first week as 'result of Tablighi event' https://t.co/zEZy43YLDu,,Kishor Chowbey,iim study predicts 15 lakh covid19 cases by may first week as result of tablighi event  https  tcozezy43yldu,iim study predicts 15 lakh covid19 cases may first week result tablighi event https tcozezy43yldu,iim study predicts lakh cases may first week result tablighi event https, Italia
